tempo,       mem, livreMem, swap, livreSwap, cpu, disponivel
3118,   3649 , 1460 ,  31   , 2065, 6.35   , 3533
49,   3649 , 1462 ,  31   , 2065, 6.35   , 3535
3119,   3650 , 1463 ,  31   , 2065, 6.35   , 3536
50,   3649 , 1463 ,  31   , 2065, 6.35   , 3535
3120,   3649 , 1463 ,  31   , 2065, 6.35   , 3535
52,   3651 , 1461 ,  31   , 2065, 6.35   , 3534
3121,   3652 , 1461 ,  31   , 2065, 6.35   , 3534
53,   3650 , 1462 ,  31   , 2065, 6.35   , 3535
3122,   3650 , 1462 ,  31   , 2065, 6.35   , 3535
54,   3651 , 1465 ,  31   , 2065, 6.35   , 3538
3123,   3651 , 1465 ,  31   , 2065, 6.35   , 3538
55,   3649 , 1467 ,  31   , 2065, 6.35   , 3540
3124,   3649 , 1467 ,  31   , 2065, 6.35   , 3540
56,   3649 , 1467 ,  31   , 2065, 6.35   , 3540
3125,   3650 , 1466 ,  31   , 2065, 6.35   , 3540
57,   3650 , 1466 ,  31   , 2065, 6.35   , 3539
3126,   3649 , 1467 ,  31   , 2065, 6.35   , 3541
58,   3649 , 1467 ,  31   , 2065, 6.35   , 3540
3127,   3649 , 1467 ,  31   , 2065, 6.35   , 3540
59,   3650 , 1466 ,  31   , 2065, 6.35   , 3539
3128,   3650 , 1466 ,  31   , 2065, 6.35   , 3539
60,   3651 , 1465 ,  31   , 2065, 6.35   , 3539
3129,   3650 , 1466 ,  31   , 2065, 6.35   , 3539
61,   3651 , 1465 ,  31   , 2065, 6.36   , 3538
3130,   3652 , 1465 ,  31   , 2065, 6.36   , 3537
62,   3651 , 1461 ,  31   , 2065, 6.36   , 3534
3131,   3651 , 1462 ,  31   , 2065, 6.36   , 3535
63,   3651 , 1461 ,  31   , 2065, 6.36   , 3534
3132,   3651 , 1462 ,  31   , 2065, 6.36   , 3535
64,   3652 , 1461 ,  31   , 2065, 6.36   , 3534
3133,   3652 , 1461 ,  31   , 2065, 6.36   , 3534
65,   3651 , 1462 ,  31   , 2065, 6.36   , 3535
3134,   3652 , 1462 ,  31   , 2065, 6.36   , 3535
66,   3652 , 1460 ,  31   , 2065, 6.36   , 3534
3135,   3653 , 1461 ,  31   , 2065, 6.36   , 3534
67,   3653 , 1460 ,  31   , 2065, 6.36   , 3533
